file,audio_filename,n_segments,mean_segment_duration_s,total_duration_s
fredrikstad_04gk-eo_ahl_eo_amg.conc.ort.trs,fredrikstad_04gk-eo,180,4.950,891.000
fusa_01um-02uk_ifg_lh.trs,fusa_01um-02uk,292,3.815,1114.078
fusa_01um-02uk_ifg_lh_amg_akl.conc.ort.trs,fusa_01um-02uk,292,3.815,1114.078
fusa_01um-mi_ifg_amg.trs,fusa_01um-mi,105,7.716,810.208
fusa_01um-mi_ifg_amg_amg_akl.conc.ort.trs,fusa_01um-mi,105,7.716,810.208
fusa_02uk-sl_ifg_amg.trs,fusa_02uk-sl,193,4.348,839.070
fusa_02uk-sl_ifg_amg_amg_akl.conc.ort.trs,fusa_02uk-sl,193,4.348,839.070
fusa_03gm-04gk_amg_lh.trs,fusa_03gm-04gk,214,5.104,1092.223
fusa_03gm-04gk_amg_lh_amg_akl.conc.ort.trs,fusa_03gm-04gk,214,5.104,1092.223
fusa_03gm-mi_amg_lh.trs,fusa_03gm-mi,131,8.388,1098.863
fusa_03gm-mi_amg_lh_amg_akl.conc.ort.trs,fusa_03gm-mi,131,8.388,1098.863
fusa_04gk-sl_amg_lh.trs,fusa_04gk-sl,152,5.035,765.282
